headline,link,source,region,published_at
"Prayers to be offered for martyred Leader on third day of Tehran funeral ceremonies","https://news.google.com/rss/articles/CBMipgFBVV95cUxQcnRTVTVCY0t4TDRXRjFZQi1mUExBeFVyOFJFYXZ4N1dHam50R2I4WUo5VEJfZUR4dFc3T3hOTFF5OHpSc09zdWNOR25yZFVwV2oyUFhlcWVjUGtXajZ5QnJlbFRHNXdzUHBCVEpSSFpuaTdrQ3I4eWU4Y1dqTmJFUzROVXdRdFFJelZDX09EYzdycVoyY0p5bjdQc3pmMW5qWEkxUkt3?oc=5","Press TV","Iran","1783212060000"
"Analysis • At Khamenei's funeral, Iran's new leaders inherit destruction and ambition","https://news.google.com/rss/articles/CBMikwJBVV95cUxQWGt5cTlmSS1IbVlWYnBSRGw3QlhGWUxreERsX2Y4bGNMX25RVGRyQk9kUWFvcFNnZ3h1ekctQVE1X25PSkpVdGpvdFFtWnE0Vm9adHJ2QkZGejlkcjFGdi05Q1RjME5WRWs4LUhLSGc1MzhZa1FfV0xIUE5zZzdaNzYyZmliclZYQU5Oanl4REhzVmM2cjVOVlRaNTREQi1aNXlfb2hoemVQRGcxV21QdlRnMVZ0T05HN0NhXy1sZjdMam5reFUwd2hUTEp1ZzlxZ2ZyNWpFbUE4NW8xRzR6X1JmaU1KRlRQLUVNV1dGVWwyTmtORkFpRWg2eTdzT2FpVWJGRkRYRHU5cE1RejFVbVRWTQ?oc=5","Haaretz","Israel","1783213980000"
"Prayers to be offered for Iran's Khamenei on day two of funeral ceremonies","https://news.google.com/rss/articles/CBMiqwFBVV95cUxNNzdvT2U5NEQtZm5oUnJLYmZOLUpmZkU1bXBGZW1GNnZEY0JMNC1Ndlo1cV9EeGRLTFFMR251QjdyM3hydTl4dUFKUHNqOG5BeHBhVFEtMTVtek5xaEZCbVN1ZDU1YU5UYlNESjBkalZHTVVDZUhjcVdqSXZmYzZlTzREd255WkMzLUJLdnFvYW40TXVnSGlqaWRIZTdNUUZ1b2p1M3dPVkozZ3M?oc=5","Dawn","Pakistan","1783217685000"
"2-day farewell ceremony for Iran's late supreme leader held in Tehran","https://news.google.com/rss/articles/CBMixAFBVV95cUxNbWItZlRSbUtPSUJrMG5XWXRZZ0VoYmIteWNGc3Z4WS1HalVFM1FIelpBSzE4dmlnREZjM1pkcXpVdGNLU1RRTU14MGEtekhXdnIxenFGWlc2Qm0tRWlHQzhIR3N5LV9LUWVacWhDUmIzcG5tVktVV19fZUZkT3ZWOUZnOFE0ZHl3NnAxYUxnMlFKZ21ZYVhMNTB4ZlNKMXhralJWYXlPaTZzdmNtb1pid0Y5NXJ5WnFWLVB6NTFMd1RUeEZP?oc=5","CGTN","China","1783216597000"
"Iranian diplomat says country will ‘definitely’ collect Hormuz fees, defying US","https://news.google.com/rss/articles/CBMiqwFBVV95cUxPZnM4c3Z0bXNvTWdmbVhPS0JpZ191RGp5UUduV3UwTm5vblhBQ2RTQ1doeHlCbXBJZnlGcm5XSWc1Sm1Wa29aX3pkRXA0d19GUl9jLWVGNVBjdjNGSU9nVC1fczNmQl9vOVJVOHVUM0Fvb1JFNGR4Y2VtUHB4dnZIXy1YZUtrOTZ1VjJ0OHlBQjJ4VGg5Tm9VZnhUMUxsbTlGSzJIRnpZMDRhOW_SAbABQVVfeXFMTUFjV1V0Ukc3ZnpUNXlSYmN1NmJUTlIzWGFIVGN5aEQ0WUxLWTl1MVFXeE5tU2k3M09Ya1RRMWhxNU9xWVppT1pQZGdWWG9PdXh4OGx5djlBaVcwQy1KRGZkZXhpb0ZfX3pFc09DWHdWWnMxR0ViS3BKOURIVUwzckVfSFEydFhxV3U4U19xQzdzSGpJa3Y3TUd6V3R4dDkwN3lMUFE0UjgtWE5sSnlFUks?oc=5","The Times of Israel","Israel","1783219529000"
"Iran’s resilience","https://news.google.com/rss/articles/CBMiX0FVX3lxTE9hRnNCaGlBSVhwOW02NlpfdXdkU0tzSktRdEJ4ZnJRNWRINWF4VUFmVzZGY2hRNUI0T0JRU0FSeEIyWUMtaTNqdTNwcnA2azdVOG1UU29iaWtNZzdPdE1V?oc=5","Dawn","Pakistan","1783218766000"
"Fate of Gaza Strip eclipsed by US-Iran war: analyst","https://news.google.com/rss/articles/CBMijAFBVV95cUxPR2NiRGgzSXdYSFdIaDR0X3psaUxDOW9ycVQ0YlY0Tm96aTh4RTNCbm93MXZNQVNMX0FEbS01Y0kyNGU0dkZnU1V4X1Q2SEgzemcyaFNsN0hwbUJ2bS1fczY3Q29qbklyVDNHMWs2dm9WTFVHOVhaNGNaQk9tVEg1Y21QR2EtZjdrMHFBMA?oc=5","Dawn","Pakistan","1783218648000"
"Islamabad frontrunner to host US-Iran talks","https://news.google.com/rss/articles/CBMiSEFVX3lxTE5qZ3c1M0gyUzRZNUg4NXhnenlvS2M4ZXdfaEUwN1NqVUlqbVFHOWJTR3RvOWN6MXRPOXF4ckdiSGd6ZUVEREJleA?oc=5","Dawn","Pakistan","1783218098000"
"Donald Trump lauds US victory over Iran, destroying Navy, during July 4 speech","https://news.google.com/rss/articles/CBMiZEFVX3lxTFBJaXdOclZ5YTZiTE9acjJTaHVmU2xhYVY0OFUzZUhFUGhqeE9pVEhSNC1wdmlsd1llNUVMS05vblZzcGJHeFRWTlBJZkJNTzh3TFFzVHV4SDNfMThxemtUWXU4b3Q?oc=5","The Jerusalem Post","Israel","1783223842000"
"Performer calls for Trump’s death at funeral for Iran’s late supreme leader","https://news.google.com/rss/articles/CBMitgFBVV95cUxPUE5NamRIbmZzSWZkQTVwWFNYMWpfaXZqOGFGazlaY1hiVTRFcG10allHSlUzSXZ5aEVzcVBmS0IzZFBrXy1lSTR6cGZYSnNhVFNkZEMxQ0NHbW5FZkdPR1UwcHNnNEVmQVlNM1haaDA1LXBiTlZKNWRxTHlMU294alVJNzhWTHVYams0RkpjUmJoLTJKVTZjWUpnQU9wRVpGRWJJa3gwUzdQd1VlY2hQeDZObUwtUQ?oc=5","Associated Press","Global","1783223638000"
